model,mae,rmse,correlation,directional_accuracy,rows
selected_model,0.01050756238244835,0.015762631004218895,0.039480462218497596,0.5168447610566934,26952
no_movement,0.010489319099278893,0.01576084525416337,,0.5173642030276047,26952
historical_mean,0.010489319099278895,0.01576084525416337,-1.99036386295777e-17,0.4922454734342535,26952
momentum,0.012525760373454374,0.01802006155492943,0.004486311298293617,0.49205995844464234,26952
mean_reversion,0.012412592812528067,0.01808904450965996,-0.004486311298293617,0.5152493321460374,26952
selected_model_no_stale_over_120m,0.010582001823645338,0.015831409154528155,0.039315079862170775,0.5168628040756477,26597
selected_model_minimum_activity_2,0.010492300544177623,0.015704725288253167,0.03931584269116293,0.5167371780598233,26946
selected_model_pre_covid,0.011273324293888378,0.016874196838710515,0.002781072578319717,0.48768689533861037,4548
selected_model_post_covid,0.010352113124582379,0.015527270368700366,0.04411131841261483,0.5227637921799678,22404
